,event,event_size,datetime,actor
152,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#shootEvent,22,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
153,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#startEvent,84,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
154,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#throwEvent,12,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
155,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-9090-Y8TX-2258.xml#contractEvent,8,28/01/2010,http://dbpedia.org/resource/Marta_(footballer)
156,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-9090-Y8TX-2258.xml#signEvent,6,28/01/2010,http://dbpedia.org/resource/Marta_(footballer)
157,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-9090-Y8TX-2258.xml#thinkEvent,9,28/01/2010,http://dbpedia.org/resource/Marta_(footballer)
158,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNF-M0K1-2R4F-70VG.xml#tryEvent,9,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
159,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#lobEvent,12,28/01/2010,http://dbpedia.org/resource/Vincent_Enyeama
160,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#joinEvent,18,28/01/2010,http://dbpedia.org/resource/Mehdi_Mahdavikia
161,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#sayEvent,10,28/01/2010,http://dbpedia.org/resource/Mehdi_Mahdavikia
162,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#sayEvent,10,28/01/2010,http://dbpedia.org/resource/Heribert_Bruchhagen
163,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-9090-Y8TX-2258.xml#midfielderEvent,7,28/01/2010,http://dbpedia.org/resource/Aya_Miyama
164,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNF-M0K1-2R4F-70VG.xml#nodEvent,9,28/01/2010,http://dbpedia.org/resource/Asamoah_Gyan
165,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#crossEvent,20,28/01/2010,http://dbpedia.org/resource/Sayed_Moawad
166,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#leaveEvent,24,28/01/2010,http://dbpedia.org/resource/Sayed_Moawad
167,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#useEvent,46,28/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
169,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-0410-YB58-K0F0.xml#wantEvent,22,28/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
